Word,Valence,Arousal,Dominance,VD_PC1,plutchik_label,insideout2_label
storytelling,7.0,4.4,6.18,1.8239551608079212,trust,joy
stout,5.29,3.35,4.86,-0.11932467572074892,disgust,ennui
stove,5.63,3.82,6.08,0.9887056531090211,trust,ennui
stow,5.0,2.9,5.04,-0.14452034389563556,sadness,ennui
stowaway,4.35,4.23,4.83,-0.6633150177602483,disgust,disgust
straddle,5.62,5.0,5.15,0.2822701081641608,anticipation,disgust
straighten,6.26,3.0,5.88,1.1874130656687298,trust,ennui
straightforward,6.14,4.04,6.3,1.4373842746146714,trust,joy
strain,3.71,4.78,4.08,-1.5835308556590908,disgust,disgust
straitjacket,2.71,5.1,3.97,-2.2210923589425824,disgust,anxiety
strand,5.0,3.27,5.15,-0.0616195017271319,disgust,ennui
strange,4.72,3.5,5.28,-0.11895076427655199,disgust,ennui
stranger,4.09,5.8,4.84,-0.7999903494530085,anger,anger
strangle,3.0,5.43,3.62,-2.324016174119019,fear,embarrassment
strangulation,2.79,5.5,3.21,-2.7494889610357705,fear,embarrassment
strap,5.1,4.23,5.71,0.41588721542402024,anticipation,ennui
strapless,5.65,5.25,5.33,0.43456585154607047,anticipation,disgust
strapping,4.77,4.77,5.63,0.17255767567898062,anticipation,disgust
strategic,6.57,4.32,6.29,1.6683519186969802,trust,joy
strategist,5.29,5.15,5.76,0.5589549420215514,anticipation,disgust
strategy,5.95,4.15,6.67,1.610847036296881,trust,joy
stratosphere,5.52,4.19,4.48,-0.27813745115549543,disgust,ennui
straw,5.89,2.35,5.24,0.49985644843943733,trust,ennui
strawberry,7.25,4.05,5.54,1.4802881534699213,trust,joy
stray,4.14,3.71,5.68,-0.13919633983777854,disgust,ennui
streak,5.37,4.5,5.3,0.25665154584246347,anticipation,disgust
stream,6.9,4.35,5.09,0.9470171132085252,anticipation,ennui
streamline,5.3,3.64,5.84,0.6247930702097946,anticipation,ennui
street,5.07,3.45,5.41,0.1731541896764708,anticipation,ennui
streetcar,5.44,3.75,5.24,0.2502591509376931,anticipation,ennui
streetlight,4.9,3.78,5.38,0.05625255669551264,anticipation,ennui
strength,6.73,5.3,7.42,2.608715366751823,joy,joy
strengthen,7.21,4.7,6.0,1.804777976093609,trust,joy
strenuous,4.14,5.14,4.65,-0.9154496801428555,disgust,disgust
strep,2.77,4.21,3.48,-2.5570982889353804,sadness,anxiety
stress,1.79,4.72,3.85,-2.821817449534011,fear,anxiety
stressful,2.62,5.65,3.97,-2.271011818442931,fear,fear
